gt	index	cov	error
het	2	0.86996014	0.02211921
hom	2	0.94305424	0.01025497
total	2	0.9109026	0.01523909
het	1	0.90675859	0.05294263
hom	1	0.94930371	0.02857808
total	1	0.93360321	0.03731084
het	3	0.92068426	0.0150815
hom	3	0.95288748	0.00862219
total	3	0.93926511	0.01130051
het	4	0.91954946	0.0286985
hom	4	0.94545917	0.01449467
total	4	0.93453252	0.02038977
het	5-1	0.93347075	0.01768696
hom	5-1	0.96005244	0.01095643
total	5-1	0.94809821	0.01393806
het	5-2	0.93210401	0.01908897
hom	5-2	0.96083779	0.01123223
total	5-2	0.94818017	0.01463674
het	6	0.88408765	0.0185626
hom	6	0.95086761	0.00871066
total	6	0.92498345	0.01236048
het	7	0.89649633	0.01734255
hom	7	0.95784083	0.00717298
total	7	0.933455	0.01105555
het	8	0.9310546	0.01366248
hom	8	0.95217657	0.00995043
total	8	0.94309597	0.01152633
het	9	0.92965547	0.0149021
hom	9	0.95750025	0.00907473
total	9	0.94523244	0.01159983
