gt	index	cov	error
total	1	0.98644226	0.02819905
het	1	0.97619664	0.04638219
hom	1	0.9908574	0.02047935
total	2	0.99627242	0.00810663
het	2	0.9934277	0.01399491
hom	2	0.99641296	0.00438745
total	3	0.99820928	0.00655175
het	3	0.99710755	0.01160338
hom	3	0.99867271	0.00443017
total	4	0.99440725	0.00998099
het	4	0.98955886	0.01582696
hom	4	0.99650271	0.00747198
total	6	0.99840434	0.0091098
het	6	0.99756757	0.01463018
hom	6	0.99886801	0.00679964
total	7	0.99757794	0.00806704
het	7	0.99669883	0.01605096
hom	7	0.99796863	0.00441027
total	8	0.99719735	0.0060114
het	8	0.99636929	0.00937012
hom	8	0.99755256	0.00457232
total	9	0.99867642	0.00654869
het	9	0.9984548	0.0082538
hom	9	0.99877246	0.00581006
total	5-1	0.99836206	0.00734375
het	5-1	0.99696203	0.01295074
hom	5-1	0.99898546	0.00485218
total	5-2	0.99828326	0.00742594
het	5-2	0.99798082	0.01011634
hom	5-2	0.99841862	0.00622242
